username,url
OumarDi94833020,https://twitter.com/OumarDi94833020/status/1161327868716179456
bambadiaadieuf,https://twitter.com/bambadiaadieuf/status/1161087534891511808
FaBiiRa2,https://twitter.com/FaBiiRa2/status/1161409120282578944
RokhayaGueye11,https://twitter.com/RokhayaGueye11/status/1161402642653962244
NitaStyles01,https://twitter.com/NitaStyles01/status/1161393866467098624
PapeMoussaLo3,https://twitter.com/PapeMoussaLo3/status/1161380297860141058
SiniOgo,https://twitter.com/SiniOgo/status/1161379548681965568
sakawa__,https://twitter.com/sakawa__/status/1161377678102093824
Astou_D7,https://twitter.com/Astou_D7/status/1161372109882449922
badboiigalsen,https://twitter.com/badboiigalsen/status/1161366658180681734
eva_choupi,https://twitter.com/eva_choupi/status/1161366292718325760
nG0ne_di0p,https://twitter.com/nG0ne_di0p/status/1161352118726529024
Selena__S,https://twitter.com/Selena__S/status/1161338575293693952
Sokhnahh,https://twitter.com/Sokhnahh/status/1161327075913097216
BambaibnBamba,https://twitter.com/BambaibnBamba/status/1161308326744985600
sayedia1,https://twitter.com/sayedia1/status/1161262025521205249
b_chakur,https://twitter.com/b_chakur/status/1161243420305821696
OumyDg,https://twitter.com/OumyDg/status/1161236900000260096
MaayaaSamb,https://twitter.com/MaayaaSamb/status/1161089886318936064
AbyLaStar,https://twitter.com/AbyLaStar/status/1161088025973145600
mouridoulahiii,https://twitter.com/mouridoulahiii/status/1161081901035196416
ThianeMamico,https://twitter.com/ThianeMamico/status/1161079454468325377
amira_deuzou,https://twitter.com/amira_deuzou/status/1161389596476870657
FatimNiang4,https://twitter.com/FatimNiang4/status/1161383433513439232
DienaSow,https://twitter.com/DienaSow/status/1161379354162716672
Fatiim_T,https://twitter.com/Fatiim_T/status/1161370015519690752
SelemYakham,https://twitter.com/SelemYakham/status/1161351401471131648
mariam0417,https://twitter.com/mariam0417/status/1161349172160847873
picopa99999,https://twitter.com/picopa99999/status/1161333605592915974
Mandiayediouf7,https://twitter.com/Mandiayediouf7/status/1161320646435135488
_Maatys,https://twitter.com/_Maatys/status/1161285752157855748
Lady_Annaa,https://twitter.com/Lady_Annaa/status/1161279291902103555
LatyrDiouff,https://twitter.com/LatyrDiouff/status/1161259837013012480
biinetteS,https://twitter.com/biinetteS/status/1161102547517657088
Maaguiie_,https://twitter.com/Maaguiie_/status/1161098262335623170
siri_2018,https://twitter.com/siri_2018/status/1161093276285513729
NdAstoo,https://twitter.com/NdAstoo/status/1161088145024307200
bambadiaadieuf,https://twitter.com/bambadiaadieuf/status/1161087534891511808
Diorkebee,https://twitter.com/Diorkebee/status/1161082499822477312
NdoffeneDiouf,https://twitter.com/NdoffeneDiouf/status/1161066623639404544
mouhxmed,https://twitter.com/mouhxmed/status/1161369582235455491
momothiam09,https://twitter.com/momothiam09/status/1161368963827281920
yaggbaax,https://twitter.com/yaggbaax/status/1161368949025583104
sylla_momar,https://twitter.com/sylla_momar/status/1161341448480075778
SoubsGrafic,https://twitter.com/SoubsGrafic/status/1161324739442425856
ndiouga_dia,https://twitter.com/ndiouga_dia/status/1161305204974899200
_Maatys,https://twitter.com/_Maatys/status/1161285752157855748
JeynaSow,https://twitter.com/JeynaSow/status/1161240371827007488
SoniaSeck,https://twitter.com/SoniaSeck/status/1161239604537831424
missndioo,https://twitter.com/missndioo/status/1161217466372173825
marokasse,https://twitter.com/marokasse/status/1161186060682113024
biinetteS,https://twitter.com/biinetteS/status/1161102547517657088
modou_mai,https://twitter.com/modou_mai/status/1161078226342596613
sene_moise,https://twitter.com/sene_moise/status/1161075195618238464
SodaMarime1,https://twitter.com/SodaMarime1/status/1161066242909884418
Zaraaaa_Df,https://twitter.com/Zaraaaa_Df/status/1161066091713585152
beyonceisBee,https://twitter.com/beyonceisBee/status/1161340578090639360
Sambaacisse,https://twitter.com/Sambaacisse/status/1161324546634502144
AbsaAw,https://twitter.com/AbsaAw/status/1161316435723001857
Awaa_Ndiaye,https://twitter.com/Awaa_Ndiaye/status/1161273380244533253
DiorBirima,https://twitter.com/DiorBirima/status/1161272511801303042
fatookinei,https://twitter.com/fatookinei/status/1161247480752803841
Mcousseyni,https://twitter.com/Mcousseyni/status/1161231461430779905
laplusdoucee,https://twitter.com/laplusdoucee/status/1161212425494044673
Sir_Diagne,https://twitter.com/Sir_Diagne/status/1161212423518457856
diopsarr88,https://twitter.com/diopsarr88/status/1161193595640188928
MaguetteSakho,https://twitter.com/MaguetteSakho/status/1161185705164496897
OgLaye,https://twitter.com/OgLaye/status/1161172323896107008
DIAGNEAstou3,https://twitter.com/DIAGNEAstou3/status/1161090101587402754
elmarabdou,https://twitter.com/elmarabdou/status/1161084449435672576
absatou,https://twitter.com/absatou/status/1161075085198970880
Aly_Bichri,https://twitter.com/Aly_Bichri/status/1161260562363355136
drame_macire,https://twitter.com/drame_macire/status/1161256398702993410
GoodBoyBacaar,https://twitter.com/GoodBoyBacaar/status/1161252996434538503
Nabila_sanii,https://twitter.com/Nabila_sanii/status/1161252353187688448
mamadoulayeka,https://twitter.com/mamadoulayeka/status/1161239303890059267
DiattaEmmy,https://twitter.com/DiattaEmmy/status/1161196234218098688
son_excellence1,https://twitter.com/son_excellence1/status/1161092897787338752
MotsMauxDoux,https://twitter.com/MotsMauxDoux/status/1161071738408624128
